Complexity,Loss,Equation
1,66.30723,"9.501627"
3,9.501684,"x0 * x0"
5,0.99999976,"x0 * (x0 - -0.9999984)"
7,5.24345e-13,"(x0 * x0) + (x0 + 1.0000001)"
9,4.4806826e-13,"((x0 + 0.34651262) + (x0 * x0)) - -0.6534875"
11,4.228795e-13,"((x0 * x0) + ((x0 - -0.9693627) + -0.0056508183)) + 0.036288314"
15,3.940315e-13,"(((x0 * -0.5042901) + (x0 - -0.6351665)) + (x0 * (x0 - -0.5042901))) + 0.36483347"
